userId;serieId;episodeId
4dd38850-13d2-11ec-b85f-cf4445ad2487;eb9d5270-13e4-11ec-8b55-8ea2548bd8c5;
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc00de0-1465-11ec-8974-5098ad3a3c7b
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc034f0-1465-11ec-84bd-f1feb8b1d286
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc0aa20-1465-11ec-8038-9cee7591aa53
4dd38850-13d2-11ec-b85f-cf4445ad2487;eb9d5270-13e4-11ec-8ad6-4c77d73894b9;
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc0f840-1465-11ec-8b0f-636bb31a5094
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc05c00-1465-11ec-8f11-74452a14650c
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc0aa20-1465-11ec-869f-9e44d641ceec
4dd38850-13d2-11ec-b85f-cf4445ad2487;677a758a-13a9-11ec-8258-9ba301fcc9b0;
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc00de0-1465-11ec-86cd-05b5d9575f03
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc08310-1465-11ec-8b6c-55a8d3a46bc3
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc0aa20-1465-11ec-8f69-ed9a2c50db44
4b258e3c-13d2-11ec-8283-e795a3f9a2d4;eb9d5270-13e4-11ec-8b2e-507c15e37cf5;
4b258e3c-13d2-11ec-8283-e795a3f9a2d4;;780727b0-1465-11ec-80ef-cb2a2a611780
4b258e3c-13d2-11ec-8283-e795a3f9a2d4;;adc05c00-1465-11ec-8028-6c600b3dd0c9
4b258e3c-13d2-11ec-8283-e795a3f9a2d4;;adc0d130-1465-11ec-8ac5-4f72ce404c12
4dd38850-13d2-11ec-b85f-cf4445ad2487;eb9d7980-13e4-11ec-8f2c-55e0d00d1bdc;
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adbfbfc0-1465-11ec-8777-effe007a8a37
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc05c00-1465-11ec-81ba-be12a649eec1
4dd38850-13d2-11ec-b85f-cf4445ad2487;;adc0d130-1465-11ec-8eee-1772b60213d7
ae6a5a3a-13ce-11ec-9d55-478681bbe1e5;eb9d5270-13e4-11ec-8f0a-8367d75ca21b;
ae6a5a3a-13ce-11ec-9d55-478681bbe1e5;;adbfbfc0-1465-11ec-8f98-9760c4711bfb
ae6a5a3a-13ce-11ec-9d55-478681bbe1e5;;adc034f0-1465-11ec-8cd4-6e27453c0e76
ae6a5a3a-13ce-11ec-9d55-478681bbe1e5;;adc0d130-1465-11ec-84a8-761f8c850073
4b258e3c-13d2-11ec-8283-e795a3f9a2d4;eb9d5270-13e4-11ec-8670-ceb837e6699d;
4b258e3c-13d2-11ec-8283-e795a3f9a2d4;;e9e8ce58-13d2-11ec-ade6-0f8090eae705
4b258e3c-13d2-11ec-8283-e795a3f9a2d4;;adc08310-1465-11ec-87cd-a22012b87db1
4b258e3c-13d2-11ec-8283-e795a3f9a2d4;;adc0aa20-1465-11ec-8b29-4aef8656560a
41ee5a74-13d2-11ec-9994-9fb03c5fb495;eb9d7980-13e4-11ec-8e8f-6a78e698ec0c;
41ee5a74-13d2-11ec-9994-9fb03c5fb495;;780727b0-1465-11ec-898d-ec57d157344f
41ee5a74-13d2-11ec-9994-9fb03c5fb495;;adc034f0-1465-11ec-873c-4d2b51c0992e
41ee5a74-13d2-11ec-9994-9fb03c5fb495;;adc0aa20-1465-11ec-841f-646e33e36239
4dd38850-13d2-11ec-b85f-cf4445ad2487;;efd61c58-13d2-11ec-9f90-37b13541e8f7
